x(cm),hBlanco(cm),theta(deg),yBase(cm)
50,50,5.82,40
50,50,5.83,40
50,50,5.85,40
50,75,29.28,40
50,75,29.41,40
50,75,29.45,40
50,100,47.73,40
50,100,47.92,40
50,100,48.13,40
50,125,58.96,40
50,125,58.76,40
50,125,58.92,40
50,150,66.72,40
50,150,66.83,40
50,150,66.92,40
100,50,5.41,40
100,50,5.52,40
100,50,5.33,40
100,75,18.91,40
100,75,19.11,40
100,75,19.14,40
100,100,30.66,40
100,100,30.42,40
100,100,30.52,40
100,125,42.23,40
100,125,42.3,40
100,125,24.27,40
100,150,49.79,40
100,150,49.86,40
100,150,49.89,40
150,50,6.73,40
150,50,6.32,40
150,50,6.64,40
150,75,16.42,40
150,75,16.23,40
150,75,16.19,40
150,100,26.11,40
150,100,25.86,40
150,100,26.06,40
150,125,35.47,40
150,125,35.34,40
150,125,35.37,40
150,150,41.93,40
150,150,42.01,40
150,150,42.05,40
200,50,9.18,40
200,50,9.39,40
200,50,9.32,40
200,75,16.83,40
200,75,16.89,40
200,75,16.91,40
200,100,24.5,40
200,100,24.56,40
200,100,24.57,40
200,125,31.33,40
200,125,30.8,40
200,125,31.06,40
200,150,37.86,40
200,150,37.68,40
200,150,37.56,40
250,50,13.11,40
250,50,13.14,40
250,50,13.16,40
250,75,19.21,40
250,75,19.26,40
250,75,19.25,40
250,100,25.23,40
250,100,25.22,40
250,100,25.18,40
250,125,31.42,40
250,125,31.41,40
250,125,31.23,40
250,150,36.59,40
250,150,36.58,40
250,150,36.6,40
300,50,14.83,40
300,50,14.95,40
300,50,15.04,40
300,75,19.75,40
300,75,19.87,40
300,75,19.92,40
300,100,24.89,40
300,100,24.92,40
300,100,24.87,40
300,125,29.93,40
300,125,30.2,40
300,125,29.78,40
300,150,34.52,40
300,150,34.49,40
300,150,34.51,40
50,50,-45.13,103.4
50,50,-45.2,103.4
50,50,-45.16,103.4
50,75,-29.06,103.4
50,75,28.97,103.4
50,75,-29.03,103.4
50,100,-9.05,103.4
50,100,-9.14,103.4
50,100,-9.02,103.4
50,125,17.61,103.4
50,125,17.65,103.4
50,125,17.66,103.4
50,150,41.14,103.4
50,150,41.28,103.4
50,150,41.46,103.4
100,50,-24.58,103.4
100,50,-24.76,103.4
100,50,-24.65,103.4
100,75,-12.04,103.4
100,75,-12.18,103.4
100,75,-12.14,103.4
100,100,-2.04,103.4
100,100,-1.89,103.4
100,100,-1.87,103.4
100,125,14.71,103.4
100,125,14.66,103.4
100,125,14.72,103.4
100,150,28.28,103.4
100,150,28.18,103.4
100,150,28.1,103.4
150,50,-12.45,103.4
150,50,-12.28,103.4
150,50,-12.26,103.4
150,75,-5.12,103.4
150,75,-4.97,103.4
150,75,-5.01,103.4
150,100,3.63,103.4
150,100,3.7,103.4
150,100,3.61,103.4
150,125,14.47,103.4
150,125,14.36,103.4
150,125,14.51,103.4
150,150,24.32,103.4
150,150,24.3,103.4
150,150,24.27,103.4
200,50,-6.26,103.4
200,50,-6.23,103.4
200,50,-6.25,103.4
200,75,0.58,103.4
200,75,0.64,103.4
200,75,0.59,103.4
200,100,7.6,103.4
200,100,7.76,103.4
200,100,7.59,103.4
200,125,15.39,103.4
200,125,15.44,103.4
200,125,15.49,103.4
200,150,21.33,103.4
200,150,21.41,103.4
200,150,21.37,103.4
250,50,-2.93,103.4
250,50,-2.78,103.4
250,50,-2.8,103.4
250,75,2.29,103.4
250,75,2.21,103.4
250,75,2.27,103.4
250,100,8.34,103.4
250,100,8.65,103.4
250,100,8.55,103.4
250,125,14.56,103.4
250,125,14.6,103.4
250,125,14.55,103.4
250,150,19.86,103.4
250,150,19.96,103.4
250,150,20.11,103.4
300,50,1.68,103.4
300,50,1.56,103.4
300,50,1.44,103.4
300,75,6.08,103.4
300,75,6.14,103.4
300,75,6.21,103.4
300,100,11.24,103.4
300,100,11.21,103.4
300,100,11.31,103.4
300,125,16.36,103.4
300,125,16.54,103.4
300,125,16.48,103.4
300,150,20.26,103.4
300,150,20.35,103.4
300,150,20.31,103.4
